scenario_name,test_name,mode_free_or_anchored,joint_name,joint_type,joint_max_delta_deg_or_mm,limit_hit
underfilled,shoulder_poke_left,anchored,side_gusset_left_00_hinge,hinge_deg,1.074214,False
underfilled,shoulder_poke_left,anchored,side_gusset_left_01_hinge,hinge_deg,1.002083,False
underfilled,shoulder_poke_left,anchored,side_gusset_right_00_hinge,hinge_deg,1.068442,False
underfilled,shoulder_poke_left,anchored,side_gusset_right_01_hinge,hinge_deg,0.996247,False
underfilled,shoulder_poke_left,anchored,top_seam_00_hinge,hinge_deg,0.024780,False
underfilled,shoulder_poke_left,anchored,top_seam_01_hinge,hinge_deg,0.098754,False
underfilled,shoulder_poke_left,anchored,top_seam_02_hinge,hinge_deg,0.034870,False
underfilled,shoulder_poke_left,anchored,top_seam_03_hinge,hinge_deg,0.011603,False
underfilled,shoulder_poke_left,anchored,top_seam_04_hinge,hinge_deg,0.041123,False
underfilled,shoulder_poke_left,anchored,top_seam_05_hinge,hinge_deg,0.022149,False
underfilled,shoulder_poke_left,anchored,top_seam_06_hinge,hinge_deg,0.031695,False
underfilled,shoulder_poke_right,anchored,back_face_00_hinge,hinge_deg,0.863346,False
underfilled,shoulder_poke_right,anchored,back_face_01_hinge,hinge_deg,0.912135,False
underfilled,shoulder_poke_right,anchored,back_face_02_hinge,hinge_deg,0.856958,False
underfilled,shoulder_poke_right,anchored,back_face_03_hinge,hinge_deg,0.703973,False
underfilled,shoulder_poke_right,anchored,bottom_sling_slide,slide_mm,0.092409,False
underfilled,shoulder_poke_right,anchored,fold_patch_left_hinge,hinge_deg,0.697507,False
underfilled,shoulder_poke_right,anchored,fold_patch_right_hinge,hinge_deg,1.014886,False
underfilled,shoulder_poke_right,anchored,front_face_00_hinge,hinge_deg,0.779336,False
underfilled,shoulder_poke_right,anchored,front_face_01_hinge,hinge_deg,0.830248,False
underfilled,shoulder_poke_right,anchored,front_face_02_hinge,hinge_deg,0.775296,False
underfilled,shoulder_poke_right,anchored,front_face_03_hinge,hinge_deg,0.617778,False
underfilled,shoulder_poke_right,anchored,lower_belly_00_hinge,hinge_deg,0.420287,False
underfilled,shoulder_poke_right,anchored,lower_belly_01_hinge,hinge_deg,0.423424,False
underfilled,shoulder_poke_right,anchored,lower_belly_02_hinge,hinge_deg,0.423189,False
underfilled,shoulder_poke_right,anchored,lower_belly_03_hinge,hinge_deg,0.421084,False
underfilled,shoulder_poke_right,anchored,payload_aux_x,slide_mm,0.196380,False
underfilled,shoulder_poke_right,anchored,payload_aux_y,slide_mm,0.636080,False
underfilled,shoulder_poke_right,anchored,payload_aux_z,slide_mm,0.401288,True
underfilled,shoulder_poke_right,anchored,payload_main_x,slide_mm,0.100517,False
underfilled,shoulder_poke_right,anchored,payload_main_y,slide_mm,0.557937,False
underfilled,shoulder_poke_right,anchored,payload_main_z,slide_mm,0.189342,False
underfilled,shoulder_poke_right,anchored,shoulder_left_00_hinge,hinge_deg,0.982939,False
underfilled,shoulder_poke_right,anchored,shoulder_left_01_hinge,hinge_deg,0.023743,False
underfilled,shoulder_poke_right,anchored,shoulder_left_02_hinge,hinge_deg,0.934827,False
underfilled,shoulder_poke_right,anchored,shoulder_right_00_hinge,hinge_deg,1.014473,False
underfilled,shoulder_poke_right,anchored,shoulder_right_01_hinge,hinge_deg,0.092621,False
underfilled,shoulder_poke_right,anchored,shoulder_right_02_hinge,hinge_deg,0.899958,False
underfilled,shoulder_poke_right,anchored,side_gusset_left_00_hinge,hinge_deg,1.116813,False
underfilled,shoulder_poke_right,anchored,side_gusset_left_01_hinge,hinge_deg,1.044804,False
underfilled,shoulder_poke_right,anchored,side_gusset_right_00_hinge,hinge_deg,1.068377,False
underfilled,shoulder_poke_right,anchored,side_gusset_right_01_hinge,hinge_deg,0.996241,False
underfilled,shoulder_poke_right,anchored,top_seam_00_hinge,hinge_deg,0.024778,False
underfilled,shoulder_poke_right,anchored,top_seam_01_hinge,hinge_deg,0.098749,False
underfilled,shoulder_poke_right,anchored,top_seam_02_hinge,hinge_deg,0.034867,False
underfilled,shoulder_poke_right,anchored,top_seam_03_hinge,hinge_deg,0.011580,False
underfilled,shoulder_poke_right,anchored,top_seam_04_hinge,hinge_deg,0.041116,False
underfilled,shoulder_poke_right,anchored,top_seam_05_hinge,hinge_deg,0.022143,False
underfilled,shoulder_poke_right,anchored,top_seam_06_hinge,hinge_deg,0.031691,False
underfilled,top_preload,anchored,back_face_00_hinge,hinge_deg,0.867692,False
underfilled,top_preload,anchored,back_face_01_hinge,hinge_deg,0.916952,False
underfilled,top_preload,anchored,back_face_02_hinge,hinge_deg,0.861875,False
underfilled,top_preload,anchored,back_face_03_hinge,hinge_deg,0.708778,False
